age,annual_income,account_age_months,avg_monthly_balance,num_deposits_per_month,avg_deposit_amount,debit_card_usage_frequency,debit_card_spending,mobile_banking_logins,online_transfer_frequency,atm_withdrawal_frequency,credit_score,num_open_loans,total_outstanding_debt,late_payment_count,loan_default_history,fraud_flag,loan_application_amount,credit_risk,gender_female,gender_male,gender_other,employment_status_Employed,employment_status_Self-Employed,employment_status_Unemployed,debt_to_income_ratio,loan_to_income_ratio,spending_ratio,balance_to_debt_ratio
58,58137.75119211238,115,524.6794072462878,1,171.34236929099654,49,768.8775105740301,9,16,1,539,5,14435.423444947352,2,0,0,15510.576882388934,1,0,1,0,0,0,1,0.24829690087678905,0.26679010736303255,0.013225098921238368,0.03634414086336059
48,26174.92282719729,32,2635.2033570009285,1,985.6071637873608,1,580.2877854970287,9,1,2,494,5,11263.099340714489,2,0,0,14819.436497721745,1,0,1,0,0,1,0,0.4303011479755525,0.5661692527445955,0.022169608266965946,0.23394709841344277
34,75566.83726451031,14,2334.341061149544,9,994.3101191425316,42,564.0135083010748,36,5,6,437,3,15017.14413151754,5,0,0,10909.806507254923,1,0,0,1,0,0,1,0.19872664617353633,0.14437294059385855,0.007463770202884509,0.15543472220716167
62,35197.96151565097,179,2425.3843322047287,10,366.1153462266317,4,838.4892001363507,31,7,7,809,1,12626.138476015363,2,0,0,500.0,0,0,1,0,0,1,0,0.3587178896823636,0.01420536810853868,0.023822095485942045,0.1920771152396585
27,12136.998348940986,225,10.0,8,786.752258216459,16,462.4955216963545,35,16,3,522,1,13576.704319639748,4,0,0,9514.591618175737,1,1,0,0,0,1,0,1.1186212545562704,0.7839328427531617,0.038106252336823423,0.000736501529609486
40,76906.81219806187,84,1260.6545348369434,2,227.1102552464979,36,0.0,63,5,7,727,4,1267.3283195413042,2,0,0,5424.024525405304,0,0,1,0,1,0,0,0.01647875244493936,0.0705272312085508,0.0,0.9939496859085067
58,14485.73000027288,48,1437.594030517838,3,20.0,34,633.589111791305,14,11,0,754,1,13356.388071594798,2,1,0,9004.582223021305,1,1,0,0,1,0,0,0.9220376240164073,0.6216174278308154,0.0437388458696503,0.1076253847542963
38,67355.21792090166,173,1959.997183181096,0,426.2433205739195,7,788.186496204049,72,15,2,307,5,18254.853569100625,5,0,0,12632.80558360227,1,1,0,0,1,0,0,0.27102359895172695,0.1875549656514742,0.011701936695233513,0.10736267004784347
42,62980.15137576535,132,2220.699648936612,0,584.1812702083012,42,618.8137475097863,15,5,3,515,3,8376.686391266048,7,0,0,9538.756785133355,1,1,0,0,1,0,0,0.13300518033510764,0.1514565553871287,0.009825536045756547,0.2650731413450554
30,55751.973821957785,99,2527.7005123219164,3,1025.4896632837772,2,180.2633049181692,45,1,4,583,1,17976.62691776167,6,0,0,2896.67025655018,1,1,0,0,0,1,0,0.32243929112123415,0.051956371370825497,0.003233308034865896,0.14060256806333987
30,40590.050932101854,205,10.0,1,823.5928297712869,2,339.6421315739899,43,2,8,792,3,9880.319694396354,7,0,0,1746.59957724559,1,1,0,0,0,0,1,0.2434172775718842,0.04303023862096806,0.00836762023635141,0.0010120105724006631
43,59050.35130146039,228,858.9596147631813,7,832.7409107851512,0,465.1530035835268,75,8,1,738,4,8443.458283353542,4,0,0,4463.366992227435,1,0,1,0,1,0,0,0.14298743525247623,0.07558578219867508,0.007877226694365542,0.10171873504975895
55,68872.72772668191,82,1546.239070550259,3,444.95243185074526,23,169.3592195624601,34,18,6,622,3,8582.816403298548,7,0,0,7550.937631919969,1,1,0,0,1,0,0,0.12461850556230383,0.10963610533744939,0.002459017163289277,0.1801342197808515
59,32255.411063441486,56,2163.599238762676,2,614.4960435855147,44,355.8830135459806,50,9,2,712,4,5874.614219164412,2,1,0,14161.10884007181,1,0,1,0,1,0,0,0.18212802210487847,0.439030487387653,0.011033280984886934,0.36823371277605216
43,67574.7261136307,37,2141.4493732208457,2,474.5256865457936,29,848.7020914013126,57,12,9,516,4,12430.792651889022,7,1,0,9194.05481786425,1,1,0,0,0,0,1,0.183956241731353,0.1360575964807305,0.012559460322105816,0.17225587919498084
22,66755.74121487039,54,1879.9219940034404,5,371.2590975395671,41,251.3918760499512,4,19,1,444,4,8255.800432105858,0,0,0,7444.202191292932,1,0,0,1,1,0,0,0.12367176638084891,0.11151403693252192,0.003765846524582542,0.2276816558013835
41,55274.919636588,163,990.351326561066,11,592.20520055446,25,425.7545002176214,37,12,8,473,0,8715.404235873259,6,0,0,7078.837921097145,1,1,0,0,0,0,1,0.15767375679917392,0.12806600113827152,0.00770248971896836,0.1136192516732041
21,40316.452194539976,215,1092.1594480379542,5,826.0793347837168,37,679.1594129104088,5,19,2,569,5,7894.220599505108,0,1,0,7138.065141110352,1,0,0,1,0,1,0,0.19580643062075329,0.1770509246862018,0.016845713745674944,0.1383317203456498
43,66838.23256727797,86,996.4409570756244,5,599.5765182015289,42,97.58929833871002,50,14,7,328,2,13962.75256656291,6,0,0,11803.287299926738,1,1,0,0,0,1,0,0.20890367728542633,0.17659484469529915,0.001460081970906078,0.07135911011927162
